Content,HasAnswer,Answer
Por que na cidade de Palmas as mulheres nunca conseguem molhar o cabelo?,1,Porque lá elas usam Touca-ntins
Por que a loira pediu um envelope redondo no escritório onde trabalha?,1,Porque seu chefe a pediu para entregar uma circular
Qual o veículo que é mulher do lanche?,1,Lancha
"O tio de Pedro tem 4 filhas, Lala, Lele, Lili, Lolo. Qual falta?",1,"Nenhuma, porque já tem 4"
Qual o molho de tomate preferido dos gatos?,1,É o Cat-chup
Qual o eletrodoméstico do vulcão?,1,É a máquina de lava
Um homem levou um pedaço de queijo pro hospício e um dos pacientes subiu em cima do queijo. Qual o nome da série?,1,Um Maluco no Pedaço
O que pensaram os outros convidados quando viram o Zangado chegar na festa sem a Branca de Neve?,1,"Ah, Não!"
Qual o campeonato que tira as suas dores?,1,Liberta-dores
Qual é a vestimenta preferida do Batman?,1,Bat-ina
Por que um atleta dormiu na balança de uma farmácia?,1,Para que quando acordasse fizesse um levantamento de peso
Qual o peixe que é parceiro de todo mundo?,1,Truta
Por que as roupas amassadas se estenderam sobre o trilho?,1,Porque lá passa o Trem de Ferro
Qual o médico que as pessoas atiram compostos orgânicos?,1,Geraldo Álcool-Em-Mim
Como se diz veterinário em japonês?,1,Kuragato Nakasa
Qual é o alimento preferida do Thor no natal?,1,Pane-Thor-ne
Qual é o aparelho digital preferido do Thor?,1,LapTHORp
Por que a loira leva sabonete e shampoo pro pé de manga?,1,Porque ela gosta de tomar banho de mangueira
Qual a explosão que o Renato Aragão mais tem medo?,1,É a Didi-namite
O que a Oceania e a novela tem em comum?,1,Que a Oceania é O Outro Lado do Mundo e a novela é O Outro Lado do Paraíso
"O menino estava assistindo desenho, e seu pai sem querer resvala na tomada e acaba desligando a TV. Qual o nome do desenho?",1,Pô-pai
Qual é a fruta que termina primeiro do que todas as outras?,1,Jabuti-acaba
Qual é o urso que nunca envelhece?,1,Peter-Panda
Porque o urso começou a se coçar de repente?,1,Porque ele era um urso empolar
"Um americano perguntou para o bom velhinho do natal: Papai, o senhor está bem?",1,"No well, respondeu o senhor..."
O que disse uma pessoa após ter descoberto que havia comprado um óculos sem as lentes?,1,"Cuidado, é armação..."
Por que as senhoras que vão à piscina gostam tanto de Helmmans?,1,Porque elas só ficam de maiô-nesse
Porque todos os tipos de carne não toleram os bifes macios?,1,Porque elas são contra-filé
Qual o estado brasileiro que anda de trem?,1,Piauiiiiiiiiiiiiiiii
Como a família portuguesa que mora no Brasil parou de gastar com oftalmologista?,1,Mudando-se para Boa-Vista
Qual é a capital brasileira que ensina a irmã a latir?,1,"Mana, au-aus"
Qual a cidade mais amarela do mundo?,1,Yellows Angeles
Qual é o cantor que poderia ser ortopedista?,1,Caetano Vê-o-osso
Qual o carro mais azedo que existe?,1,Limão-zine
Por que um jardineiro estava cavando o chão da vila do Chaves?,1,Porque ele queria achar o tesouro
Qual o problema de saúde que nenhum anão terá?,1,Pressão alta
Qual é a fruta favorita dos maquinistas?,1,Kiwiiiiiiiiiiiiiii!!!
Qual é a fruta que ameniza o calor de Ana?,1,Abana-Ana
Por que o estádo do Grêmio tem muitas abelhas?,1,Porque Pedro Gerou-o-mel
"Dois textos eram incompletos e estavam participando de alguns campeonatos de futebol, o que um disse pro outro?",1,Precisamos de título
Qual o apresentador que tem olfato de animal?,1,Rodrigo Faro
Qual é o carro do exército?,1,Kadett
Qual é a crença ou religião que está sempre conectada à internet?,1,A Umbanda Larga
Qual é o lugar da igreja que o Batman mais gosta?,1,Bat-istério
Qual é o animal preferido do Thor?,1,OrniThorrinco
"Meu fim me leva ao começo ou o inexiste, sou um caminho sem fim, oque eu sou?",1,Um paradoxo
"Estou à sua volta, moro em seu coração, mas não posso ser compartilhado. O que eu sou?",1,A solidão. Qualquer outro sentimento e até mesmo a sabedoria e conhecimento pode ser compartilhado.
Por que a loira comeu o telhado da casa?,1,Porque ela era comi-lona
Por que o anão não escuta o outro?,1,Porque ele fala baixinho
Qual o time de futebol em que um chinês observa um jogo de sinuca?,1,Lee-ver-pool
Qual o animal preferido do Renato Aragão?,1,Didi-nossauro
Qual time de futebol larga na frente?,1,Na-Pole
Qual a atriz que faz cópias de imagens?,1,Gisele Print
Qual o lugar onde as pessoas mais fazem churros?,1,Na enxurrada
Qual é a função do Thor?,1,CorreThor
"Qual país que se você pisar, será preso?",1,Cana-dá
Um jogador de futebol apareceu e virou líder de um time de um programa de domingo da Globo. Qual o nome do filme?,1,Capitão Fantástico
O que o goleiro utiliza para dormir?,1,Trave-sseiro
Qual o aparelho luminário preferido do Thor?,1,RefleThor
Qual o animal mais fuxiqueiro que existe?,1,A fo-foca
Qual é o animal peçonhento que trabalha com montaria?,1,É o escor-peão
Por que um determinado inseto voador não reclama de aterrissar nos piores locais possíveis?,1,Por que Mari-pousa em qualquer lugar
Qual é o nome da norma jurídica para pessoas com dificuldades de dicção por repetirem demais as sílabas das palavras?,1,Lei de Gaga
Tinham dez pessoas em cima de uma árvore jogando pastilhas garoto nas pessoas que passavam em baixo. Qual o nome do filme?,1,Os Dez Manda Menta
Qual o ovo mais escuro que existe?,1,Ovinho tinto
Por que nunca falta energia no fundo do rio?,1,Porque ele tem enguia elétrica
Qual artista você não pode convidar para sua casa?,1,O Eric... Claptomaniaco!
Do que as velhinhas mas sentem saudades?,1,Da Ditadura!
Qual a semelhança entre o Uruguai e o YouTube?,1,Que os dois tem um Monte-Vídeo
"No trânsito, como fazer para as dores corporais passarem mais depressa?",1,É só pisar no acelera-dor
Por que o envelope é tão medroso jogando baralho?,1,Porque ele só guarda as cartas
Por que as roupas devem se pendurarem nos cabides?,1,Porque eles não tem mãos pra segurarem elas
Qual a vodka que da tiros para os dois lados?,1,Bala-lá-e-cá
Qual o chocolate que espanta que espanta a capital do Equador?,1,Xô-Quito
Como se chama mil políticos presos?,1,Um bom começo
O que desce chorando da escada?,1,Balde
Por que o carro jamais é eletrocutado?,1,Porque ele tem o para-choque
"Qual é a versão de Dragon Ball que o Vasco, Fluminense e Botafogo mais gostam?",1,Kai
Qual é o mosquito que a vaca tem medo?,1,Muuuuriçoca
Por que um tigre auxiliava o idoso a andar?,1,Porque ele era um tigre de bengala
"Quem é que, no Natal, anda com o saco cheio às costas subindo e descendo a rua?",1,"O carteiro, ou você acredita em Papai Noel?"
Como um escritor termina um caso de amor?,1,Com um ponto final
Por que é que 'na casa do ferreiro tem espeto de pau'?,1,Porque 'santo de casa não faz milagre'
"Entre médicos, qual deveria ser considerado engenheiro?",1,Os que faz pontes de safena
Quem é que bate na porta sem estar chamando ninguém?,1,O marceneiro
"Que fazem os grandes costureiros, quando não têm o que fazer?",1,Inventam moda
"Que pista levou o policial à certeza de que aquele carro, parado no estacionamento, era roubado?",1,"O motor estava quente, mas a placa fria"
Qual a profissão que aborrece?,1,A de amolador
Como se chama o jornal do oculista?,1,O globo ocular
Qual a carta que melhora a vida do carteiro?,1,A carta de recomendação
Qual o produto alimentício preferido dos escritores?,1,A sopa de letrinhas
Que escritor escreve um livro em menos de um minuto?,1,Qualquer um: 'um livro'
Qual o lugar onde o pescador pode até escolher o peixe?,1,Na peixaria
Por que um astrônomo sempre se frusta quando tenta estudar os grandes grupos de estrelas do Universo?,1,"Porque no telescópio, a visão é sempre nebulosa"
"Quem é que se encarrega pessoalmente de transmitir os nossos desabafos, as nossas alegrias, exigências e consulta sem jamais ter contato conosco?",1,O carteiro
Qual é a capital preferida do Thor?,1,PreTHORia
Qual a prótese que vive durante um longo período?,1,É a denta-dura
Qual a haste de metal que é uma operadora de TV?,1,É o Alfi-NET
Onde o Renato Aragão nasceu?,1,Na Didi-namarca
Qual o país que sai pegando tudo?,1,Catar
Por que a música foi na papelaria?,1,Porque ela queria um clipe
"No salão de beleza, por que o português colocou uma grade sobre a cabeça?",1,Porque ele queria um de-gradê
Qual o jogador que trata água?,1,Aguero
Qual é o jogador que não toma tiro?,1,Dybala
Qual país do caribe é uma explosão?,1,Granada
"Nas obras, como fazer para a parede de tijolo ser recarregada?",1,É só fazer um abaste-cimento
Qual o ator que os operários sobem em cima dele?,1,Vã-Andaime
O que acontece se o coqueiro beber demais?,1,Ele chapa o coco
"Estou acima das pessoas mais posso ficar a baixo delas, sou sólido e essencial para um lar quem eu sou?",1,Terraço
O que um jogador de futebol falou pro outro na hora de dar um pré-datado?,1,"Eu não tenho dinheiro, mas o Peter Cheque"
O que a ponte pequena disse para outra que cresceu?,1,"E agora, eu te vi-adulto"
Por que o fio sentiu frio?,1,Porque ele estava desencapado
Qual é a cerveja favorita dos cachorros?,1,Glaciau-au
Qual é o animal mais preguiçoso que existe?,1,A dor-minhoca
Qual é o movimento que as próprias pessoas que curtem muito realizam?,1,Fã-farra
Por que o energético mais conhecido do mundo agora faz propaganda de marca de informática?,1,Porque Red Bull te dá Asus!
Qual é o pão que o Ursinho Pooh mais gosta?,1,Pão de Mel
Qual é o brinquedo preferido do Thor?,1,AuTHORama
Qual o conselho que o seu pai te dava para classificar as mulheres por tipo?,1,Cate-gurias
Qual é a fruta que é também é dois animais?,1,Jabuti-Cabra
"Represento o amor, mas amor não posso ter, me desenham com 2 indicadores, mas como um punho da sua mão eu posso ser, que sou eu?",1,O coração
O que o pobre tem que se o rico comer ele morre?,1,"Nada. O pobre tem nada, e se o rico comer nada ele morre de fome."
Qual atriz é um peixe cartilaginoso?,1,Claudia Arraia
Qual a planta dos sentimentos imediatos?,1,Jacinto
O que é que diz um ratão de 100 quilos?,1,"Vem, vem gatinho"
O que é que se pede com o dedo?,1,Ligação telefônica
O que é que perdido uma vez nunca mais se acha?,1,O tempo
Para que homem todos os outros tiram o chapéu?,1,Para o barbeiro
Qual a palavra que você usa quando se esquece das outras?,1,Sinônimos
O que nasce grande e morre pequeno?,1,O sabão
O que é o que é entra na igreja de cabeça para baixo?,1,O prego do sapato
Qual o jogador de basquete que trabalha como faxineiro?,1,Anderson Varre Chão
Qual banda de rock que beija todo mundo?,1,Kiss
Qual o cantor que se compara com as leis marítimas?,1,Bob Mar-Lei
Qual o aplicativo preferido do Thor?,1,Play sThor
Qual a flor que diz estar se sentindo?,1,Jacinto
Qual ator é símbolo de países?,1,Antônio Bandeiras
Qual o planeta mais admirado do supermercado?,1,Uau-Marte
Qual a batata que todos devem respeitar?,1,Lays
Qual o hipermercado preferido do número 4?,1,Carre-Four
Qual a universidade particular que quase tira um dez?,1,Uni-nove
Qual a diferença entre um limão e o Mr. Bean?,1,Que o limão só faz careta quando é chupado
Qual a cerveja que os de menores não podem beber?,1,Proibida
Qual o salgadinho que mais vai no jogo de futebol?,1,A Torcida
O que um bolo com frio disse pro outro?,1,Precisamos de cobertura
Por que o armário estava lotado?,1,Porque todos queriam ver o jogo de panelas
Por que Bob Marley é folgado?,1,Porque ele quer que o arrasta-fari
"Tenho 5 maçãs, roubo de Joãozinho 5, quantas tartarugas tem no pote de doce?",1,"Duas, pois vassoura não assiste TV a noite"
Qual animal mais gosta de cantar em grupo?,1,A cobra-coral
Por que os padres amam açúcar?,1,Porque eles abraçam um sacer-doce-o
Qual é a comida favorito da piranha?,1,Pirão
O que uma ave perguntou pra outra sobre o futebol?,1,"Meu time é o Flamingo, e o seu?"
Por que um dos maiores apresentadores da Rede Globo não queria uma fazenda?,1,Porque ele queria apenas uma Chacrinha
Qual a doença que mais incomoda os gaúchos?,1,Artri-tchê
Por que Angelina não é considerada uma atriz completa?,1,"Porque para isso, Angelina além de Jô-Li, deveria ser Jô-Escrevi também"
Por que o ex-marido de Angelina Jolie é considerado um cara muito chato?,1,Porque vive o Brad dando Pití
Qual é o veículo de comunicação que sempre obverva você?,1,É a Rede Te Vê
Por que nos montes mais altos e frios da Suíça tem cachorros?,1,Porque lá estão os au-aupes
Qual é o legume favorito do menino de madeira que cresce o nariz?,1,O Pepinóquio
Qual a fruta que tem título de nobreza?,1,Fruta-do-Conde
Por que o português colocou a cama no guarda-roupas?,1,Por que o médico o pediu para guardar leito
O que o mineirinho pediu ao saber que no cardápio de um determinado restaurante só servia frutos do mar?,1,Uma banana d'água
Qual é o país onde as pessoas mais praticam musculação?,1,Só-malha
Qual é o animal que mais sente quando a temperatura está alta?,1,A Calor-psita
Qual animal é o melhor dos dançarinos?,1,O tatu-re-bola
Qual o celular que deixa você fazer o que quiser com ele?,1,Ai pode
Por que a roupa saiu correndo e pulou na banheira d'água?,1,Porque ela só levava ferro
Por que um homem vivia cheio de velas em sua casa?,1,Porque ele era fã do Caetano Veloso
Por que a galinha gorda estava batendo a cabeça no bebedouro elétrico?,1,Porque ela queria um galão
Qual é a profissão agente do Thor?,1,CorreThor
O que o Thor mais gosta do banheiro?,1,Thor-alha
Qual é a função de autoridade do Thor?,1,PromoThor
Qual o jogador que larga as coisas de qualquer jeito?,1,Se-dane
Por que a vaca foi pra Alemanha?,1,Porque ela queria ver Muuuuu-nique
Por que a loira joga o relógio pela janela?,1,Porque a hora voa
Por que o Médico tem a letra feia?,1,"Porque ele não sabe escrever, só prescrever"
O que o gato faz quando está na rua?,1,Engatinha
Por que os cães da Austrália ficam roucos?,1,Porque a capital do país se chama cão-berra
Por que os papéis e as folhas tem medo do Rio de Janeiro?,1,Porque eles fazem picadinho
Qual a ave que quer matar as vacas imediatamente em busca de seu couro?,1,Couro-já
Qual é a Lua que nunca esta com fome?,1,Lua cheia
O que tem cara de um lado e animal do outro?,1,As notas
Segunda pessoa do singular; Água passa; Qual é o nome do animal?,1,TUcano
Eu tenho um cachorro que se chama Choco. O que Choco faz?,1,CHOCO-late
"Ge estava andando de bicicleta, mas ele não viu a ladeira que estava à sua frente. O que falaram para ele?",1,Ge-Ladeira
O que o tempo e a novela tem em comum?,1,"O tempo é o Senhor da Razão, e a novela é a Senhora do Destino"
Por que parente e igual a dente?,1,Porque quanto mais afastado melhor pra não juntar sujeira
Qual o país dos touros?,1,Bull-Garia
Qual a cantora que abre todas as portas?,1,Kelly Key
Por que os torcedores estavam com a mão na cara?,1,Por que os atletas iam jogar tênis
Por que as abelhas não comem pão de sal?,1,Porque elas já têm o pão de mel
"Nas novelas, como fazer para os atores vovôs falarem mais alto?",1,É só apertar o vô-lume
Por que os camaleões mudam de cor sozinho?,1,Porque eles não precisam de lápis de cor
Qual a comida que tem um grupo de soldados prontos para guerra?,1,Feijão Tropeiro
Por que os baianos não deixam nada aberto?,1,Porque eles tem o vatampá
Qual o ator que mais gosta de flores?,1,Tony Ramos
Qual a atriz mais enxuta?,1,Deborah Secco
Qual o santo do Rodrigo?,1,São Toro
Qual enfermidade tem o técnico da seleção brasileira de futebol quando entra em um labirinto?,1,Labirin-Tite
Qual o jogador que só vive com raiva?,1,Bravo
O que todo homem faz quando está no banheiro?,1,Sai do banheiro
Por que o nadador jogou a televisão na piscina?,1,Para fazer um nado sintonizado
Por que o italiano tem que se equilibrar jogando xadrez?,1,Porque senão ele perde sua torre
Por que a cama do sabão facilmente estoura?,1,Porque seu colchão é de espuma
Qual é o eletrodoméstico preferido do Batman?,1,Bat-deira
Qual comida que quase tira um 10?,1,Strogo-nove
Qual o brinquedo preferido do McDonald's?,1,McSteel
O que a vaca foi fazer na papelaria?,1,Comprar uma muuuuuuuu-chila
Qual o material escolar que mostra a parte de seu corpo que dói?,1,Aponta-dor
Qual a rede social mais gorda?,1,InstaGrama
Qual é o tipo de festa que os cegos frequentam?,1,O braille funk
Por que no Rio de Janeiro as pessoas não comem pão de sal?,1,Porque eles têm o Pão de Açúcar
Qual super herói tira foto no escuro?,1,Flash
"Quando está apaixonado, como um sabão em pó se declara?",1,Eu te OMO
O que a mãe açaí disse para os outros açaís?,1,O último açaí feche a porta
Qual é o carro que gosta de fazer exercícios?,1,Cooper
Por que o pai do Thor é um ser pré-histórico?,1,Porque ele é Odinossauro
O que o Batman faz com o celular?,1,Bat-Selfie
Qual o contrário de futsal?,1,Fut-açúcar
Como seria o nome chinês do preguiçoso?,1,Kan-sei ou kochi-lin
Por que o relógio é popular?,1,Porque ele é da hora
Por que a piada da bola é a melhor?,1,Porque ela é bem bolada
Qual é o traficante que toma uma gelada no boteco?,1,Pablo Skol Bar
O que tem 5 cordas e uma cova?,1,Violão
Qual o santo da Ivete?,1,São Galo
Qual é o chocolate dos gatos?,1,Kit-Cat
Qual o esporte preferido dos gaúchos?,1,Basquetchê
Quem é o rei da farmácia?,1,Rei-médio
Qual o contrário de buscapé,1,Levamão
Qual o carro mais amado da Julieta?,1,Alfa-Romeu
Qual a cerveja preferida dos mineiros?,1,Bud-Uai-Zé
Por que a Holanda não cresce?,1,Porque ela é um País-Baixo
Qual o contrário de cachorro-quente?,1,Cadela fria
Por que o frango atravessou a rua?,1,Porque era dia de folga da galinha
Por que o Thor é rico?,1,Porque ele tem O-din-din
O que é o quê é e branco não é líquido e serve pra bebê?,1,Fralda
Qual é o veículo que lava roupas?,1,Tanque
Qual é a área de ensinamentos do Thor?,1,Or-THOR-grafia
O que o Thor mais gosta de contar?,1,His-THOR-ia
Qual é o veículo mais sacana?,1,Velo-troll
O que é um grande prédio com apenas uma janela?,1,Agulha
O que é que é que no interior é uma linda praia e fora um mato?,1,Coco
Qual é a parte mais feminina da casa?,1,JanELA
Por que o Batman é tão ruim nos jogos de carta?,1,Porque ele só pega coringa
Qual é o contrário de contramão?,1,Favorpé
Qual é o barco que sempre está aceso no escuro?,1,Barco a vela
Qual o contrário de papelada?,1,Pá vestida
Qual a ave que é marca de bicicleta?,1,Caloi-picita
Qual é o alimento mais sagrado do mundo?,1,Amén-doim
Como o Thor se comunica com os outros Vingadores?,1,Por Thor-pedo
Qual a parte mais sonora do corpo?,1,Rádio
Qual e o esporte mais salgado?,1,Fut-sal
Por que o vaso é o melhor presente para se ganhar?,1,Porque ele é de-coração!
O que o coelho disse quando se assustou?,1,"Ah, minha nossa cenoura!"
Qual é o hidrocarboneto da raiva?,1,Bicarbonato de ódio
Por que o macaco tem medo de martelo?,1,Porque ele é um macaco-prego
Por que o jogador não estava conseguindo ligar do campo?,1,Porque ele estava fora de área
Qual o maior órgão público de uma cidade?,1,Orelhão
O que o astronauta foi fazer no teclado?,1,Andar no espaço
Quais são os bandidos mais horríveis que existem?,1,Os ma-feiosos
Qual carro está sempre ligado?,1,On-ix
Por que um caminhoneiro nunca consegue pegar uma garota no deserto?,1,Porque é muita areia pro seu caminhão
Por que a chuva sempre cai sem nos avisar?,1,Porque ela é precipitada
O que é o que é que depois de ficar muito tempo na geladeira continua quente?,1,Pimenta
"João tinha nove carrinhos, emprestou quatro para o Arthur. Com quantos carrinhos João ficou?",1,"Continuou com nove, pois ele emprestou, ele não deu"
O que é o que quando bate na pedra não quebra e quando cai na água se parte?,1,O papel
Qual é o tipo de bebida preferida dos animais?,1,As de garrafa PET
Qual é o prato preferido dos mecânicos?,1,Macarrão parafuso
"Qual é a prisão, onde todos nós estamos condenados a passar?",1,Prisão de ventre
"Um homem lá vinha com uma carroça, e na carroça tinha um burro, um capim e uma onça. A ponte estava quase quebrando, e ele tinha que atravessar uma coisa de cada vez, e sem deixar um comer ao outro. Que processo ele iria fazer?",1,"Ele leva o burro e deixa ele lá, volta e busca a onça, traz o burro de volta e leva o capim, depois leva o burro de novo"
Qual é a fruta preferida do Thor?,1,THORanja
Qual é o animal de estimação do Thor?,1,THOR-upeira
Qual é a comida mais devagar?,1,A po-lenta
Por que a menina doente foi pra a academia?,1,Pra ficar sarada
Com qual gênero a matemática combina?,1,"Mulheres, pois são difíceis"
O que o milho disse para a pipoca?,1,HuMILHO mesmo
Qual é o doce preferido do Thor?,1,Thorrone
Qual é o prato preferido do Thor?,1,Thorresmo
O que o Thor faz quando corta o dedo?,1,Thorniquete
O que acontece se o Thor assoprar?,1,THORnado
Quantas pata tem uma pata?,1,"Somente uma, se fosse mais seria patapatapatapata..."
Qual é a semelhança entre aranha e escorpião?,1,Com nenhum dos dois dá pra fazer bolo de abacate
"Meu avô tem 4 filhos, cada filho tem 4 filhos. Quantos primos eu tenho?",1,12. Três são meus irmãos e um sou eu.
"Ela tinha 4 filhos. Janeiro, Fevereiro, Março. Qual é o nome do quarto filho.",1,O nome da criança e 'Qual'
Qual o esporte que os cientistas gostam?,1,Fórmula 1
Qual a profissão histórica do Thor?,1,His-THOR-iógrafo
Qual a catástrofe que o Thor tem medo?,1,TerremoTHOR
Qual é a profissão do Thor?,1,Mo-THOR-ista
Qual a especialização do Thor?,1,PaTHORlogia
Qual a profissão secreta do Thor?,1,InspeThor
Qual é o frango que está sempre na mesa?,1,O frango alinamesa
Qual o pão que o Thor mais come?,1,O THORrado
"No carro estavam 1 avó, 2 pais, 2 filhos e 1 neto. Quantas pessoas estavam no carro?",1,3 pessoas
O que é surdo e mudo mas conta tudo?,1,Livro
Por que a fração não cabe em uma casa?,1,Por que ela tem 4 quarto
Qual a parte do corpo que Thor mais gosta?,1,Thornozelo
O que o zero disse para o seis?,1,"Nossa, apertou tanto o cinto que abriu a boca"
Qual e o animal que mais gosta de jogar futebol?,1,GOLfinho
Qual é o carro que só anda bem vestido?,1,Blazer
Por que guarda de trânsito é o ser mais forte do mundo?,1,Porque ele pode parar carros só com uma das mãos
Qual é o fenômeno que acontece no mar que o Thor tem medo?,1,Thormenta
"Tinha um pontinho verde no Xbox, qual é o nome do jogo?",1,Assassins GreenD
Por que não podemos levar cães pros Estados Unidos?,1,Porque lá fura-cão
Qual é o país feminino?,1,VenezuELA
Qual a meditação que se faz acordado?,1,ONnnn...
O que a legume é do filho do filho dela?,1,Avóbora
O que o zero dise para o oito?,1,"Nossa, que cinto apertado!"
O que passa por todas as casas mas não sai do lugar?,1,A rua
Cinco políticos estavam em uma lancha que acabou virando no meio do mar. Você sabe como salvá-los?,1,Não? Perfeito!
Qual é o bicho que anda com as patas?,1,O pato
O que o Thor gosta de ser no tempo livre?,1,Fo-THOR-grafo
Por que as mulheres não sentem frio?,1,Porque elas estão cobertas de razão
Por que em Minas Gerais não tem mar?,1,Porque lá eles rezam livrai-nos de todos os mar
Qual o animal que a gordinha não quer encontrar de jeito nenhum quando fica magra?,1,O ex-quilo
Quem é a mãe da cozinha?,1,A mãezena
O que o Thor usa nos pés para não se machucar enquanto corre?,1,Thor-nozeleiras
Qual o doce favorito do Thor?,1,Thortuguita
Do que o Thor faz parte?,1,Da Thorcida
O que Michael Phelps disse para Sócrates?,1,Só sei que nadar sei
O que o Batman mais sente no peito?,1,Bat-mentos
Por que  o filho do joalheiro estuda tanto?,1,Pra ser um adulto joia
Por que o surfista não gosta da cozinha?,1,Porque lá só tem micro-ondas
Qual é o time preferido do Thor?,1,Thorino
Qual é a cidade preferida do Thor?,1,Thoronto
Qual é a parte do quarto que o Thor mais gosta?,1,Thormada
O que acontece se colocarmos sal em um boi bem pequeno?,1,Vira um sal-gadinho
O que até o mais pobre de todos tem?,1,Nome
Quantas sílaba tem a palavra Trissílaba?,1,"Uma, se fosse mais seria Trissílabasílabasílaba..."
O que para ser direito tem que ser torto?,1,Anzol
Qual o remédio que contém álcool e gasolina?,1,Dorflex
Qual é o animal favorito dos pintores?,1,Onça pintada
Qual a especialidade de Thor?,1,OrTHORpedista
Qual o tênis quer ser uma majestade?,1,Rainha
Qual é o corte de cabelo preferido do Thor?,1,THORpete
Qual a semelhança de um sapo e uma vassoura?,1,Com nenhum dos dois dá pra fazer pastel
Qual a Profissão preferida do Thor?,1,THORpógrafo
Qual é a luta dos Gaúchos?,1,KaraTCHÊ
Qual é o carro movido a suco?,1,MusTANG
Qual é a roupa preferido do macaco?,1,Macacão
