Value,Sentiment
🐭,1
🐮,-1
🐯,1
🐰,1
🐱,1
🐲,-1
🐳,-1
🐴,0
🐵,1
🐶,1
🐷,1
🐸,-1
🐹,1
🐺,1
🐻,1
🐼,1
🐽,0
🐾,1
🐿,0
👀,0
👁,0
👁‍🗨,0
👂,-1
👃,0
👄,1
👅,1
👆,1
👇,1
👈,1
👉,1
👊,1
👋,1
👌,1
👍,1
👎,-1
👏,1
👐,-1
👑,1
👒,1
👓,1
👔,1
👕,1
👖,1
👗,1
👘,1
👙,1
👚,1
👛,1
👜,1
👝,1
👞,1
👟,1
👠,1
👡,1
👢,1
👣,1
👤,1
👥,1
👦,0
👧,0
👨,1
👨‍⚕,0
👨‍⚖,0
👨‍✈,0
👨‍❤‍👨,0
👨‍❤‍💋‍👨,0
👨‍🌾,0
👨‍🍳,0
👨‍🎓,0
👨‍🎤,0
👨‍🎨,0
👨‍🏫,0
👨‍🏭,0
👨‍👦,0
👨‍👦‍👦,0
👨‍👧,0
👨‍👧‍👦,0
👨‍👧‍👧,0
👨‍👨‍👦,0
👨‍👨‍👦‍👦,0
👨‍👨‍👧,0
👨‍👨‍👧‍👦,0
👨‍👨‍👧‍👧,0
👨‍👩‍👦‍👦,0
👨‍👩‍👧,0
👨‍👩‍👧‍👦,0
👨‍👩‍👧‍👧,0
👨‍💻,0
👨‍💼,0
👨‍🔧,0
👨‍🔬,0
👨‍🚀,0
👨‍🚒,0
👩,0
👩‍⚕,0
👩‍⚖,0
👩‍✈,0
👩‍❤‍👩,0
👩‍❤‍💋‍👩,0
👩‍🌾,0
👩‍🍳,0
👩‍🎓,0
👩‍🎤,0
👩‍🎨,0
👩‍🏫,0
👩‍🏭,0
👩‍👦,0
👩‍👦‍👦,0
👩‍👧,0
👩‍👧‍👦,0
👩‍👧‍👧,0
👩‍👩‍👦,0
👩‍👩‍👦‍👦,0
👩‍👩‍👧,0
👩‍👩‍👧‍👦,0
👩‍👩‍👧‍👧,0
👩‍💻,0
👩‍💼,0
👩‍🔧,0
👩‍🔬,0
👩‍🚀,0
👩‍🚒,0
👪,-1
👫,1
👬,-1
👭,1
👮,-1
👮‍♀,0
👯,1
👯‍♂,0
👰,1
👱,0
👱‍♀,0
👲,1
👳,1
👳‍♀,0
👴,1
👵,1
👶,1
👷,1
👷‍♀,0
👸,1
👹,0
👺,-1
👻,1
👼,1
👽,1
👾,1
👿,-1
💀,-1
💁,1
💁‍♂,0
💂,-1
💂‍♀,0
💃,1
💄,1
💅,1
💆,1
💆‍♂,0
💇,1
💇‍♂,0
💈,0
💉,1
💊,1
💋,1
💌,1
💍,1
💎,1
💏,1
💐,1
💑,1
💓,1
💔,-1
💕,1
💖,1
💗,1
💘,1
💙,1
💚,1
💛,1
💜,1
💝,1
💞,1
💟,1
💠,0
💡,1
💢,1
💣,0
💤,1
💥,0
💦,1
💧,-1
💨,1
💩,-1
💪,1
💫,1
💬,1
💭,1
💮,0
💯,0
💰,1
💱,0
💲,1
💳,1
💴,-1
💵,1
💶,0
💷,1
💸,0
💹,0
💻,1
💼,1
💽,0
💾,0
💿,1
📀,0
📁,0
📂,0
📃,1
📄,1
📅,1
📆,1
📇,0
📈,1
📉,1
📊,0
📋,1
📌,-1
📍,0
📎,1
📏,0
📐,0
📑,1
📒,0
📓,1
📔,1
📕,1
📖,0
📗,1
📘,1
📙,1
📚,1
📛,0
📜,1
📝,1
📞,1
📟,0
📠,0
📡,1
📢,1
📣,1
📤,0
📥,0
📦,1
📧,0
📨,0
📩,0
📪,0
📫,1
📬,0
📭,0
📮,-1
📯,-1
📰,1
📱,1
📲,1
📳,0
📴,1
📵,0
📶,1
📷,1
📸,0
📹,1
📺,1
📻,1
📼,1
📽,0
📿,0
🔀,0
🔁,0
🔂,0
🔃,0
🔄,0
🔅,1
🔆,1
🔇,1
🔈,1
🔉,1
🔊,1
🔋,-1
🔌,-1
🔍,0
🔎,1
🔏,0
🔐,1
🔑,1
🔒,1
🔓,0
🔔,1
🔕,-1
🔖,1
🔗,0
🔘,1
🔙,1
🔚,1
🔛,1
🔜,1
🔝,1
🔞,-1
🔟,1
🔠,0
🔡,0
🔢,0
🔣,1
🔤,0
🔥,0
🔦,0
🔧,-1
🔨,-1
🔩,1
🔪,0
🔫,-1
🔬,1
🔭,1
🔮,1
🔯,1
🔰,0
🔱,0
🔲,1
🔳,1
🔴,1
🔵,1
🔶,1
🔷,1
🔸,1
🔹,0
🔺,1
🔻,1
🔼,0
🔽,0
🕉,0
🕊,0
🕎,0
🕐,-1
🕑,1
🕒,0
🕓,0
🕔,-1
🕕,-1
🕖,0
🕗,0
🕘,0
🕙,0
🕚,0
🕛,1
🕜,0
🕝,-1
🕞,0
🕟,0
🕠,0
🕡,0
🕢,0
🕣,0
🕤,0
🕥,-1
🕦,0
🕧,0
🕯,0
🕰,0
🕳,0
🕴,0
🕵,0
🕵‍♀,0
🕶,0
🕷,0
🕸,0
🕹,0
🕺,0
🖇,0
🖊,0
🖋,0
🖌,0
🖍,0
🖐,0
🖕,-1
🖖,0
🖤,0
🖥,0
🖨,0
🖱,0
🖲,0
🖼,0
🗂,0
🗃,0
🗄,0
🗑,0
🗒,0
🗓,0
🗜,0
🗝,0
🗞,0
🗡,0
🗣,0
🗯,0
🗳,0
🤐,0
🤑,0
🤒,0
🤓,0
🤔,0
🤕,0
🤖,0
🤗,1
🤘,0
🤙,0
🤚,0
🤛,0
🤜,0
🤝,0
🤞,0
🤠,0
🤡,1
🤢,0
🤣,1
🤤,0
🤥,0
🤦‍♀,0
🤦‍♂,0
🤧,-1
🤰,0
🤳,0
🤴,0
🤵,0
🤶,0
🤷‍♀,0
🤷‍♂,0
🤸‍♀,0
🤸‍♂,0
🤹‍♀,0
🤹‍♂,0
🤺,0
🤼‍♀,0
🤼‍♂,0
🤽‍♀,0
🤽‍♂,0
🤾‍♀,0
🤾‍♂,0
🥀,0
🥁,0
🥂,0
🥃,0
🥄,0
🥅,0
🥇,0
🥈,0
🥉,0
🥊,0
🥋,0
🥐,0
🥑,0
🥒,0
🥓,0
🥔,0
🥕,0
🥖,0
🥗,0
🥘,0
🥙,0
🥚,0
🥛,0
🥜,0
🥝,0
🥞,0
🦀,0
🦁,0
🦂,0
🦃,0
🦄,0
🦅,0
🦆,0
🦇,0
🦈,0
🦉,0
🦊,0
🦋,0
🦌,0
🦍,0
🦎,0
🦏,0
🦐,0
🦑,0
🧀,0
😀,1
😁,1
😂,1
😃,1
😄,1
😅,0
😆,1
😇,1
😈,-1
😉,1
😊,1
😋,1
😌,1
😍,1
😎,1
😏,1
😐,-1
😑,-1
😒,-1
😓,-1
😔,-1
😕,-1
😖,-1
😗,1
😘,1
😙,1
😚,1
😛,1
😜,1
😝,1
😞,-1
😟,-1
😠,-1
😡,-1
😢,-1
😣,-1
😤,-1
😥,-1
😦,-1
😧,-1
😨,-1
😩,-1
😪,-1
😫,-1
😬,0
😭,-1
😮,1
😯,0
😰,-1
😱,-1
😲,-1
😳,-1
😴,-1
😵,-1
😶,-1
😷,-1
😸,1
😹,0
😺,1
😻,1
😼,1
😽,1
😾,-1
😿,-1
🙀,1
🙁,-1
🙂,1
🙃,1
🙄,-1
🙅,-1
🙅‍♂,0
🙆,1
🙆‍♂,0
🙇,0
🙇‍♀,0
🙈,1
🙉,1
🙊,1
🙋,1
🙋‍♂,0
🙌,1
🙍,-1
🙍‍♂,0
🙎,-1
🙎‍♂,0
🙏,1
🚣,1
🚣‍♀,0
🚪,1
🚫,-1
🚬,1
🚭,1
🚮,0
🚯,0
🚰,0
🚱,0
🚳,1
🚴,1
🚴‍♀,0
🚵,1
🚵‍♀,0
🚶,-1
🚶‍♀,0
🚷,0
🚸,0
🚹,1
🚺,0
🚻,0
🚼,1
🚽,1
🚾,1
🚿,1
🛀,0
🛁,0
🛂,0
🛃,0
🛄,0
🛅,0
🛋,0
🛌,0
🛍,0
🛎,0
🛏,0
🛐,0
🛑,0
🛒,0
🛠,0
🛡,0
🛢,0
0⃣,0
1⃣,0
2⃣,0
3⃣,0
4⃣,0
5⃣,0
6⃣,0
7⃣,0
8⃣,0
8-|,1
8o|,-1
9⃣,0
🅰,0
a-vontade,1
🆎,0
abafada,-1
abafadas,-1
abafado,-1
abafados,-1
abafante,-1
abafantes,-1
abaixada,-1
abaixadas,-1
abaixado,-1
abaixados,-1
abalada,-1
abaladas,-1
abalado,-1
abalados,-1
abalizada,1
abalizadas,1
abalizado,1
abalizados,1
abalroa,1
abalroada,-1
abalroadas,-1
abalroado,-1
abalroados,-1
abalroai,1
abalroais,1
abalroam,1
abalroamo,1
abalroamos,1
abalroando,1
abalroar,1
abalroara,1
abalroaram,1
abalroaramo,1
abalroaramos,1
abalroarao,1
abalroaras,1
abalroarde,1
abalroardes,1
abalroare,1
abalroarei,1
abalroareis,1
abalroarem,1
abalroaremos,1
abalroares,1
abalroaria,1
abalroariam,1
abalroariamos,1
abalroarias,1
abalroarieis,1
abalroarmo,1
abalroarmos,1
abalroas,1
abalroasse,1
abalroasseis,1
abalroassem,1
abalroassemos,1
abalroasses,1
abalroaste,1
abalroastes,1
abalroava,1
abalroavam,1
abalroavamo,1
abalroavamos,1
abalroavas,1
abalroavei,1
abalroaveis,1
abalroe,1
abalroei,1
abalroeis,1
abalroem,1
abalroemo,1
abalroemos,1
abalroes,1
abalroo,1
abalroou,1
abana,1
abanado,1
abanai,1
abanais,1
abanam,1
abanamo,1
abanamos,1
abanando,1
abanar,1
abanara,1
abanaram,1
abanaramo,1
abanaramos,1
abanarao,1
abanaras,1
abanarde,1
abanardes,1
abanare,1
abanarei,1
abanareis,1
abanarem,1
abanaremos,1
abanares,1
abanaria,1
abanariam,1
abanariamos,1
abanarias,1
abanarieis,1
abanarmo,1
abanarmos,1
abanas,1
abanasse,1
abanasseis,1
abanassem,1
abanassemos,1
abanasses,1
abanaste,1
abanastes,1
abanava,1
abanavam,1
abanavamo,1
abanavamos,1
abanavas,1
abanavei,1
abanaveis,1
abandalhada,-1
abandalhadas,-1
abandalhado,-1
abandalhados,-1
abandalhamento,-1
abandona,-1
abandonada,-1
abandonadas,-1
abandonado,-1
abandonados,-1
abandonai,-1
abandonais,-1
abandonam,-1
abandonamo,-1
abandonamos,-1
abandonando,-1
abandonar,-1
abandonara,-1
abandonaram,-1
abandonaramo,-1
abandonaramos,-1
abandonarao,-1
abandonaras,-1
abandonarde,-1
abandonardes,-1
abandonare,-1
abandonarei,-1
abandonareis,-1
abandonarem,-1
abandonaremos,-1
abandonares,-1
abandonaria,-1
abandonariam,-1
abandonariamos,-1
abandonarias,-1
abandonarieis,-1
abandonarmo,-1
abandonarmos,-1
abandonas,-1
abandonasse,-1
abandonasseis,-1
abandonassem,-1
abandonassemos,-1
abandonasses,-1
abandonaste,-1
abandonastes,-1
abandonava,-1
abandonavam,-1
abandonavamo,-1
abandonavamos,-1
abandonavas,-1
abandonavei,-1
abandonaveis,-1
abandone,-1
abandonei,-1
abandoneis,-1
abandonem,-1
abandonemo,-1
abandonemos,-1
abandones,-1
abandono,-1
abandonou,-1
abane,1
abanei,1
abaneis,1
abanem,1
abanemo,1
abanemos,1
abanes,1
abano,1
abanou,1
abarcante,0
abarcantes,0
abarrotada,-1
abarrotadas,-1
abarrotado,-1
abarrotados,-1
abastada,1
abastadas,1
abastado,1
abastados,1
abastecida,0
abastecidas,0
abastecido,0
abastecidos,0
abata,1
abatais,1
abatam,1
abatamo,1
abatamos,1
abatas,1
abate,1
abatei,1
abateis,1
abatem,1
abatemo,1
abatemos,1
abatendo,1
abater,1
abatera,1
abateram,1
abateramo,1
abateramos,1
abaterao,1
abateras,1
abaterde,1
abaterdes,1
abatere,1
abaterei,1
abatereis,1
abaterem,1
abateremos,1
abateres,1
abateria,1
abateriam,1
abateriamos,1
abaterias,1
abaterieis,1
abatermo,1
abatermos,1
abates,1
abatesse,1
abatesseis,1
abatessem,1
abatessemos,1
abatesses,1
abateste,1
abatestes,1
abateu,1
abati,1
abatia,1
abatiam,1
abatiamo,1
abatiamos,1
abatias,1
abatida,-1
abatidas,-1
abatido,-1
abatidos,-1
abatiei,1
abatieis,1
abato,1
abelhuda,-1
abelhudas,-1
abelhudo,-1
abelhudos,-1
abencoada,1
abencoadas,1
abencoado,1
abencoados,1
aberracao,-1
aberrante,-1
aberrantes,-1
aberrativa,-1
aberrativas,-1
aberrativo,-1
aberrativos,-1
aberta,1
abertas,1
aberto,1
aberto a alma,1
aberto o coracao,1
aberto os olhos,1
abertos,1
abespinhada,-1
abespinhadas,-1
abespinhado,-1
abespinhados,-1
abestalhada,-1
abestalhadas,-1
abestalhado,-1
abestalhados,-1
abilolada,-1
abiloladas,-1
abilolado,-1
abilolados,-1
abjecao,-1
abjeccao,-1
abjecta,-1
abjectas,-1
abjecto,-1
abjectos,-1
abjeta,-1
abjetas,-1
abjeto,-1
abjetos,-1
abnegada,1
abnegadas,1
abnegado,1
abnegados,1
abobada,-1
abobadas,-1
abobado,-1
abobados,-1
abobalhada,-1
abobalhadas,-1
abobalhado,-1
abobalhados,-1
abolicionista,0
abolicionistas,0
abolida,-1
abolidas,-1
abolido,-1
abolidos,-1
abomina,0
abominado,0
abominador,-1
abominadora,-1
abominadoras,-1
abominadores,-1
abominai,0
abominais,0
abominam,0
abominamo,0
abominamos,0
abominanda,-1
abominandas,-1
abominando,-1
abominandos,-1
abominar,0
abominara,0
abominaram,0
abominaramo,0
abominaramos,0
abominarao,0
abominaras,0
abominarde,0
abominardes,0
abominare,0
abominarei,0
abominareis,0
abominarem,0
abominaremos,0
abominares,0
abominaria,0
abominariam,0
abominariamos,0
abominarias,0
abominarieis,0
abominarmo,0
abominarmos,0
abominas,0
abominasse,0
abominasseis,0
abominassem,0
abominassemos,0
abominasses,0
abominaste,0
abominastes,0
abominava,0
abominavam,0
abominavamo,0
abominavamos,0
abominavas,0
abominavei,0
abominaveis,0
abominavel,-1
abomine,0
abominei,0
abomineis,0
abominem,0
abominemo,0
abominemos,0
abomines,0
abomino,0
abominou,0
abonada,1
abonadas,1
abonado,1
abonados,1
abonatoria,1
abonatorias,1
abonatorio,1
abonatorios,1
abonecada,0
abonecadas,0
abonecado,0
abonecados,0
aborreca,-1
aborrecais,-1
aborrecam,-1
aborrecamo,-1
aborrecamos,-1
aborrecas,-1
aborrece,-1
aborrecei,-1
aborreceis,-1
aborrecem,-1
aborrecemo,-1
aborrecemos,-1
aborrecendo,-1
aborrecer,1
aborrecer-se,-1
aborrecera,-1
aborreceram,-1
aborreceramo,-1
aborreceramos,-1
aborrecerao,-1
aborreceras,-1
aborrecerde,-1
aborrecerdes,-1
aborrecere,-1
aborrecerei,-1
aborrecereis,-1
aborrecerem,-1
aborreceremos,-1
aborreceres,-1
aborreceria,-1
aborreceriam,-1
aborreceriamos,-1
aborrecerias,-1
aborrecerieis,-1
aborrecermo,-1
aborrecermos,-1
aborreces,-1
aborrecesse,-1
aborrecesseis,-1
aborrecessem,-1
aborrecessemos,-1
aborrecesses,-1
aborreceste,-1
aborrecestes,-1
aborreceu,-1
aborreci,-1
aborrecia,-1
aborreciam,-1
aborreciamo,-1
aborreciamos,-1
aborrecias,-1
aborrecida,-1
aborrecidas,-1
aborrecido,-1
aborrecidos,-1
aborreciei,-1
aborrecieis,-1
aborreco,-1
abortada,-1
abortadas,-1
abortado,-1
abortados,-1
abra a alma,1
abra o coracao,1
abra os olhos,1
abracada,1
abracadas,1
abracado,1
abracados,1
abrais a alma,1
abrais o coracao,1
abrais os olhos,1
abram a alma,1
abram o coracao,1
abram os olhos,1
abramos a alma,1
abramos o coracao,1
abramos os olhos,1
abras a alma,1
abras o coracao,1
abras os olhos,1
abrasileirada,0
abrasileiradas,0
abrasileirado,0
abrasileirados,0
abre a alma,1
abre o coracao,1
abre os olhos,1
abrem a alma,1
abrem o coracao,1
abrem os olhos,1
abres a alma,1
abres o coracao,1
abres os olhos,1
abri a alma,1
abri o coracao,1
abri os olhos,1
abria a alma,1
abria o coracao,1
abria os olhos,1
abriam a alma,1
abriam o coracao,1
abriam os olhos,1
abriamos a alma,1
abriamos o coracao,1
abriamos os olhos,1
abrias a alma,1
abrias o coracao,1
abrias os olhos,1
abrieis a alma,1
abrieis o coracao,1
abrieis os olhos,1
abrigada,0
abrigadas,0
abrigado,0
abrigados,0
abrilhantada,1
abrilhantadas,1
abrilhantado,1
abrilhantados,1
abrimos a alma,1
abrimos o coracao,1
abrimos os olhos,1
abrindo a alma,1
abrindo o coracao,1
abrindo os olhos,1
abrir a alma,1
abrir o coracao,1
abrir os olhos,1
abrira a alma,1
abrira o coracao,1
abrira os olhos,1
abriram a alma,1
abriram o coracao,1
abriram os olhos,1
abriramos a alma,1
abriramos o coracao,1
abriramos os olhos,1
abrirao a alma,1
abrirao o coracao,1
abrirao os olhos,1
abriras a alma,1
abriras o coracao,1
abriras os olhos,1
abrirdes a alma,1
abrirdes o coracao,1
abrirdes os olhos,1
abrirei a alma,1
abrirei o coracao,1
abrirei os olhos,1
abrireis a alma,1
abrireis o coracao,1
abrireis os olhos,1
abrirem a alma,1
abrirem o coracao,1
abrirem os olhos,1
abriremos a alma,1
abriremos o coracao,1
abriremos os olhos,1
abrires a alma,1
abrires o coracao,1
abrires os olhos,1
abriria a alma,1
abriria o coracao,1
abriria os olhos,1
abririam a alma,1
abririam o coracao,1
abririam os olhos,1
abririamos a alma,1
abririamos o coracao,1
abririamos os olhos,1
abririas a alma,1
abririas o coracao,1
abririas os olhos,1
abririeis a alma,1
abririeis o coracao,1
abririeis os olhos,1
abrirmos a alma,1
abrirmos o coracao,1
abrirmos os olhos,1
abris a alma,1
abris o coracao,1
abris os olhos,1
abrisse a alma,1
abrisse o coracao,1
abrisse os olhos,1
abrisseis a alma,1
abrisseis o coracao,1
abrisseis os olhos,1
abrissem a alma,1
abrissem o coracao,1
abrissem os olhos,1
abrissemos a alma,1
abrissemos o coracao,1
abrissemos os olhos,1
abrisses a alma,1
abrisses o coracao,1
abrisses os olhos,1
abriste a alma,1
abriste o coracao,1
abriste os olhos,1
abristes a alma,1
abristes o coracao,1
abristes os olhos,1
abriu a alma,1
abriu o coracao,1
abriu os olhos,1
abro a alma,1
abro o coracao,1
abro os olhos,1
abrupta,-1
abruptas,-1
abrupto,-1
abruptos,-1
abrutalhada,-1
abrutalhadas,-1
abrutalhado,-1
abrutalhados,-1
absentista,-1
absentistas,-1
absoluta,0
absolutas,0
absolutista,0
absolutistas,0
absoluto,0
absolutos,0
absolvida,0
absolvidas,0
absolvido,0
absolvidos,0
absorvente,1
absorventes,1
abstemia,1
abstemias,1
abstemica,1
abstemicas,1
abstemico,1
abstemicos,1
abstemio,1
abstemios,1
abstencionista,0
abstencionistas,0
abstinente,0
abstinentes,0
abstracta,-1
abstractas,-1
abstracto,-1
abstractos,-1
abstraida,-1
abstraidas,-1
abstraido,-1
abstraidos,-1
abstrata,-1
abstratas,-1
abstrato,-1
abstratos,-1
abstrusa,-1
abstrusas,-1
abstrusidade,-1
abstruso,-1
abstrusos,-1
absurda,-1
absurdas,-1
absurdo,-1
absurdos,-1
abulia,-1
abulica,-1
abulicas,-1
abulico,-1
abulicos,-1
aburguesada,0
aburguesadas,0
aburguesado,0
aburguesados,0
abusa,-1
abusada,-1
abusadas,-1
abusado,-1
abusador,-1
abusadora,-1
abusadoras,-1
abusadores,-1
abusados,-1
abusai,-1
abusais,-1
abusam,-1
abusamo,-1
abusamos,-1
abusando,-1
abusar,-1
abusara,-1
abusaram,-1
abusaramo,-1
abusaramos,-1
abusarao,-1
abusaras,-1
abusarde,-1
abusardes,-1
abusare,-1
abusarei,-1
abusareis,-1
abusarem,-1
abusaremos,-1
abusares,-1
abusaria,-1
abusariam,-1
abusariamos,-1
abusarias,-1
abusarieis,-1
abusarmo,-1
abusarmos,-1
abusas,-1
abusasse,-1
abusasseis,-1
abusassem,-1
abusassemos,-1
abusasses,-1
abusaste,-1
abusastes,-1
abusava,-1
abusavam,-1
abusavamo,-1
abusavamos,-1
abusavas,-1
abusavei,-1
abusaveis,-1
abuse,-1
abusei,-1
abuseis,-1
abusem,-1
abusemo,-1
abusemos,-1
abuses,-1
abusiva,-1
abusivas,-1
abusivo,-1
abusivos,-1
abuso,-1
abusou,-1
acabada,-1
acabadas,-1
acabado,-1
acabados,-1
acabadota,-1
acabadotas,-1
acabadote,-1
acabadotes,-1
acabrunhada,-1
acabrunhadas,-1
acabrunhado,-1
acabrunhados,-1
acaciana,-1
acacianas,-1
acaciano,-1
acacianos,-1
academica,0
academicas,0
academico,0
academicos,0
acalorada,0
acaloradas,0
acalorado,0
acalorados,0
acambarcador,-1
acambarcadora,-1
acambarcadoras,-1
acambarcadores,-1
acanha,-1
acanhada,-1
acanhadas,-1
acanhado,-1
acanhados,-1
acanhai,-1
acanhais,-1
acanham,-1
acanhamento,-1
acanhamo,-1
acanhamos,-1
acanhando,-1
acanhar,-1
acanhar-se,-1
acanhara,-1
acanharam,-1
acanharamo,-1
acanharamos,-1
acanharao,-1
acanharas,-1
acanharde,-1
acanhardes,-1
acanhare,-1
acanharei,-1
acanhareis,-1
acanharem,-1
acanharemos,-1
acanhares,-1
acanharia,-1
acanhariam,-1
acanhariamos,-1
acanharias,-1
acanharieis,-1
acanharmo,-1
acanharmos,-1
acanhas,-1
acanhasse,-1
acanhasseis,-1
acanhassem,-1
acanhassemos,-1
acanhasses,-1
acanhaste,-1
acanhastes,-1
acanhava,-1
acanhavam,-1
acanhavamo,-1
acanhavamos,-1
acanhavas,-1
acanhavei,-1
acanhaveis,-1
acanhe,-1
acanhei,-1
acanheis,-1
acanhem,-1
acanhemo,-1
acanhemos,-1
acanhes,-1
acanho,-1
acanhou,-1
acatada,1
acatadas,1
acatado,1
acatador,0
acatadora,0
acatadoras,0
acatadores,0
acatados,1
acautelada,0
acauteladas,0
acautelado,0
acautelados,0
acefala,-1
acefalas,-1
acefalo,-1
acefalos,-1
aceita,0
aceitas,0
aceitaveis,1
aceitavel,1
aceite,0
aceites,0
aceito,0
aceitos,0
acelerada,0
aceleradas,0
acelerado,0
acelerados,0
acentuada,0
acentuadas,0
acentuado,0
acentuados,0
acerada,-1
aceradas,-1
acerado,-1
acerados,-1
acerba,-1
acerbas,-1
acerbidade,-1
acerbo,-1
acerbos,-1
acerrima,-1
acerrimas,-1
acerrimo,-1
acerrimos,-1
acerta na mosca,1
acerta na mouche,1
acertada,1
acertadas,1
acertado,1
acertado na mosca,1
acertado na mouche,1
acertados,1
acertai na mosca,1
acertai na mouche,1
acertais na mosca,1
acertais na mouche,1
acertam na mosca,1
acertam na mouche,1
acertamos na mosca,1
